generation,GA,ACO,Hybrid
0,65156.0202306557,64998.06331511502,62641.565395386104
1,63752.880073521985,64998.06331511502,61311.183461247456
2,63752.880073521985,64998.06331511502,61311.183461247456
3,62412.25634418616,63381.1663783221,61731.69274824557
4,62128.15924420022,63381.1663783221,61470.1978440764
5,62128.15924420022,63381.1663783221,61413.485087128436
6,62128.15924420022,63381.1663783221,61413.485087128436
7,62128.15924420022,63381.1663783221,61466.92628144677
8,61425.67297145114,62244.460400123484,61184.00791029335
9,61425.67297145114,62244.460400123484,60908.96311975312
10,60410.02201867004,62244.460400123484,61233.08814925965
11,60410.02201867004,62244.460400123484,60104.63057049808
12,60410.02201867004,62244.460400123484,60104.63057049808
13,60115.47854999772,62244.460400123484,59314.25008483311
14,60115.47854999772,62244.460400123484,59233.90519204362
15,60115.47854999772,62244.460400123484,60118.63481322972
16,60115.47854999772,62244.460400123484,59861.24076048857
17,60115.47854999772,62244.460400123484,59687.71205222852
18,60115.47854999772,62095.61744334882,59687.71205222852
19,59869.454309513516,62095.61744334882,60168.326630891344
20,59193.86549618583,62095.61744334882,60489.25085419895
21,59193.86549618583,62095.61744334882,59573.738821399704
22,59193.86549618583,62095.61744334882,59573.738821399704
23,59193.86549618583,62095.61744334882,59870.5510255663
24,58706.880184482936,62095.61744334882,59488.317557389106
25,58706.880184482936,62095.61744334882,60252.63240711933
26,58706.880184482936,62095.61744334882,60331.72241515223
27,58706.880184482936,62095.61744334882,59482.19454291522
28,58706.880184482936,62095.61744334882,59482.19454291522
29,58475.65718822934,62095.61744334882,59260.14427335927
30,58475.65718822934,62095.61744334882,60192.43468894949
31,58475.65718822934,62095.61744334882,59220.75324514992
32,58475.65718822934,62095.61744334882,59220.75324514992
33,58475.65718822934,62095.61744334882,59517.31665999429
34,58475.65718822934,62095.61744334882,59620.76561104305
35,58475.65718822934,62095.61744334882,59724.470674160926
36,58475.65718822934,62095.61744334882,59724.470674160926
37,58475.65718822934,62095.61744334882,59724.470674160926
38,58475.65718822934,62095.61744334882,59724.470674160926
39,58475.65718822934,62095.61744334882,59395.01446767433
